label,value,units,note
exposure_sd_per_decade_bacon,0.28,sd/decade,Results: Exposure to environmental change
exposure_sd_per_decade_bahet,0.281,sd/decade,Results: Exposure to environmental change
exposure_sd_per_decade_nitrogen,0.4,sd/decade,Results: Exposure to environmental change
exposure_sd_per_decade_precipitation,0.232,sd/decade,Results: Exposure to environmental change
exposure_sd_per_decade_sulfur,1.411,sd/decade,Results: Exposure to environmental change
exposure_sd_per_decade_temperature,0.074,sd/decade,Results: Exposure to environmental change
exposure_ratio_sulfur_to_next,3.52,ratio,Results: sulfur vs. next fastest-changing variable
pct_gridcells_increasing_growth,33,%,Results: Modeled demographic responses (0.5-deg cells)
pct_species_increasing_growth,37,%,Results: Modeled demographic responses (species)
pct_gridcells_increasing_recruitment,35,%,Results: Modeled demographic responses (0.5-deg cells)
pct_species_increasing_recruitment,38,%,Results: Modeled demographic responses (species)
pct_gridcells_increasing_survival,66,%,Results: Modeled demographic responses (0.5-deg cells)
pct_species_increasing_survival,70,%,Results: Modeled demographic responses (species)
vp_exposure_bacon_growth,30,% of variance,Results: variance partitioning (Fig. 5b)
vp_exposure_bacon_recruitment_rate,44,% of variance,Results: variance partitioning (Fig. 5b)
vp_exposure_bahet_growth,18,% of variance,Results: variance partitioning (Fig. 5b)
vp_sensitivity_sulfur_recruitment_probability,26,% of variance,Results: variance partitioning (Fig. 5b)
vp_sensitivity_sulfur_recruitment_rate,26,% of variance,Results: variance partitioning (Fig. 5b)
vp_sensitivity_sulfur_growth,22,% of variance,Results: variance partitioning (Fig. 5b)
vp_sensitivity_sulfur_mortality,29,% of variance,Results: variance partitioning (Fig. 5b)
vp_sensitivity_temperature_mortality,6,% of variance,Results: variance partitioning (Fig. 5b)
vp_sensitivity_sulfur_range,22-29,% of variance,Results: sulfur sensitivity range across the four rates
sts_pct_positive_within_landscapes,78-100,%,Results: Model evaluation (Fig. S3)
sts_pct_positive_within_species,73-100,%,Results: Model evaluation (Fig. S3)
sts_r_among_landscapes,0.42-0.78,r,Results: Model evaluation (Fig. S3)
sts_r_among_species,0.23-0.68,r,Results: Model evaluation (Fig. S3)
altclim_vpd_vs_temp_exposure_ratio,1.89,ratio,"Results: alt climate, VPD vs mean temperature exposure"
altclim_recrprob_sensitivity_maxVPD_vs_temp,0.41 vs 0.28,MASE,"Results: alt climate, recruitment probability sensitivity"
altclim_recrprob_sensitivity_minCMI_vs_precip,0.32 vs 0.18,MASE,"Results: alt climate, recruitment probability sensitivity"
strat_vp_sulfur_sens_survival_west,22,% of variance,"Results: stratified, western survival"
strat_vp_sulfur_sens_survival_east,28,% of variance,"Results: stratified, eastern survival"
strat_vp_bacon_exp_growth_west,36,% of variance,"Results: stratified, western growth"
strat_vp_bacon_exp_recrrate_west,77,% of variance,"Results: stratified, western recruitment rate"
strat_sulfur_exposure_east_west_ratio,9.9,ratio,"Results: stratified, sulfur exposure east:west"
strat_sulfur_sensitivity_east_west_ratio,1.9,ratio,"Results: stratified, sulfur sensitivity east:west"
strat_n_west_growth,543165,rows,Fig. S6 caption: sample size
strat_n_west_mortality,676453,rows,Fig. S6 caption: sample size
strat_n_west_recruitment_probability,55651,rows,Fig. S6 caption: sample size
strat_n_west_recruitment_rate,55651,rows,Fig. S6 caption: sample size
strat_totexp_west_growth,83,%,Fig. S6 caption: total variance explained
strat_totexp_west_mortality,43,%,Fig. S6 caption: total variance explained
strat_totexp_west_recruitment_probability,56,%,Fig. S6 caption: total variance explained
strat_totexp_west_recruitment_rate,87,%,Fig. S6 caption: total variance explained
strat_n_east_growth,1600753,rows,Fig. S6 caption: sample size
strat_n_east_mortality,2269539,rows,Fig. S6 caption: sample size
strat_n_east_recruitment_probability,362851,rows,Fig. S6 caption: sample size
strat_n_east_recruitment_rate,362851,rows,Fig. S6 caption: sample size
strat_totexp_east_growth,75,%,Fig. S6 caption: total variance explained
strat_totexp_east_mortality,68,%,Fig. S6 caption: total variance explained
strat_totexp_east_recruitment_probability,67,%,Fig. S6 caption: total variance explained
strat_totexp_east_recruitment_rate,81,%,Fig. S6 caption: total variance explained
